4 qid: 0 1:0.022475393 2:31.785872 # 226181
5 qid: 0 1:0.13349058 2:30.161015 # 302847
5 qid: 0 1:0.13738513 2:29.402145 # 170777
2 qid: 0 1:0.03137111 2:29.402145 # 338722
2 qid: 0 1:0.06297117 2:29.177568 # 44407
1 qid: 0 1:0.0013069308 2:28.961355 # 313628
5 qid: 0 1:0.039732605 2:26.571259 # 317557
4 qid: 0 1:0.1730777 2:25.720526 # 36748
5 qid: 0 1:0.22068527 2:25.533737 # 321631
3 qid: 0 1:0.12570146 2:25.518282 # 314537
3 qid: 0 1:0.06804626 2:25.35669 # 15121
3 qid: 0 1:0.08303542 2:25.35669 # 138814
2 qid: 0 1:0.03571403 2:25.341778 # 215669
5 qid: 0 1:0.08722094 2:25.227652 # 140224
5 qid: 0 1:0.17010371 2:24.970762 # 180314
5 qid: 0 1:0.090290315 2:24.86147 # 218780
4 qid: 0 1:0.25484434 2:24.31091 # 201660
4 qid: 0 1:0.044609744 2:24.237617 # 339254
5 qid: 0 1:0.028444825 2:24.20346 # 360074
3 qid: 0 1:0.22225454 2:24.176859 # 165628
5 qid: 0 1:0.19448943 2:23.874659 # 40670
3 qid: 0 1:0.04040515 2:23.803204 # 112849
5 qid: 0 1:0.32000247 2:23.546318 # 267298
4 qid: 0 1:0.05662254 2:23.537788 # 128827
2 qid: 0 1:0.06444982 2:23.44092 # 59730
2 qid: 0 1:0.0034891237 2:23.377644 # 228659
1 qid: 0 1:0.056126475 2:23.25549 # 259615
4 qid: 0 1:0.061754864 2:23.199045 # 368781
2 qid: 0 1:0.23261699 2:23.121025 # 142422
3 qid: 0 1:0.08722094 2:23.114975 # 140655
4 qid: 0 1:0.039932936 2:23.114975 # 168927
3 qid: 0 1:0.041082464 2:23.0895 # 28799
4 qid: 0 1:0.19138427 2:23.07526 # 333432
5 qid: 0 1:0.3267327 2:22.923569 # 83744
3 qid: 0 1:0.039525118 2:22.916265 # 294593
5 qid: 0 1:0.20665963 2:22.916265 # 367210
5 qid: 0 1:0.2652354 2:22.564571 # 190237
5 qid: 0 1:0.3635247 2:22.540768 # 72593
3 qid: 0 1:0.055134352 2:22.41735 # 255091
5 qid: 0 1:0.06012597 2:21.937595 # 318804
4 qid: 0 1:0.6736513 2:21.825148 # 319432
3 qid: 0 1:0.0631715 2:21.783224 # 121312
2 qid: 0 1:0.049751613 2:21.783224 # 57866
5 qid: 0 1:0.002229891 2:21.753042 # 205197
3 qid: 0 1:0.0831642 2:21.53787 # 200754
4 qid: 0 1:0.25369245 2:21.52538 # 224908
1 qid: 0 1:0.06444982 2:21.49109 # 59852
4 qid: 0 1:0.053169187 2:21.214529 # 24042
1 qid: 0 1:0.07585923 2:21.212914 # 95193
5 qid: 0 1:0.6736513 2:21.134863 # 319550
